161G	./archive/snapshots/x0tta6bl4_foundation_2025-10-29.tar.gz
48G	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/lfs/objects/08/59/08597dbf2fd2e839c27813301f69a8c94bbfdbfcd60f139f29ebcfd87838a7dc
7,1G	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/objects/pack/pack-61276421d2a3b4c4fb458806868325a472c0de50.pack
4,8G	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/vscode-cpptools/025a5e4cb36dc9086dad1f49e13622c5/.browse.VC.db
3,9G	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/vscode-cpptools/83d358528a7d257240f80d5a739ce71a/.browse.VC.db
3,9G	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/vscode-cpptools/0b4a044f695049b7dc9406bffc40e0af/.browse.VC.db
1,9G	./x0tta6bl4_paradox_zone/x0tta6bl4/Загрузки/Telegram Desktop/ChatExport_2025-09-14/video_files/97.mp4
1,7G	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/vscode-cpptools/5ca9fdb1eb7ac90112de6499672c76e1/.browse.VC.db
1,3G	./x0tta6bl4_paradox_zone/x0tta6bl4/scan.log
1,3G	./x0tta6bl4_paradox_zone/x0tta6bl4/.config/Code/User/workspaceStorage/025a5e4cb36dc9086dad1f49e13622c5/GitHub.copilot-chat/local-index.1.db
1,2G	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/caches/content.dat
1,2G	./15.09/печать/1.оракал_1590х1360_1шт.tif
976M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/torch/lib/libtorch_cuda.so
976M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/torch/lib/libtorch_cuda.so
976M	./.venv/lib/python3.12/site-packages/torch/lib/libtorch_cuda.so
974M	./15.09/печать/3.оракал_2990х720_1шт.tif
974M	./15.09/печать/2.оракал_2990х720_1шт.tif
969M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/torch/lib/libtorch_cuda.so
969M	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/lfs/objects/e3/71/e371cd8f07cb7ecb2b5eaa47a18bcdadddaec5a4e39364d05f3ceea2db1dcf7f
968M	./Camera/DCIM/Photo/2016-08/MOV_0219.mp4
942M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/index/idindex/IdIndex_inputs.values
925M	./x0tta6bl4_paradox_zone/.git/objects/pack/tmp_pack_eKecKm
925M	./x0tta6bl4_paradox_zone/.git/objects/pack/tmp_pack_6tsIC2
925M	./x0tta6bl4_paradox_zone/.git/objects/pack/pack-3d0aa06b4a20d7fe9157892493f63c06ca969a5b.pack
870M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/caches/gemini/bm25/_1v0_Lucene912_0.pos
859M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/caches/gemini/bm25/_2me_Lucene912_0.pos
847M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/pip/http-v2/4/9/f/5/0/49f50efb9508ed563b712c6542f3a882f1ca0f0ee21c6b9afdc91636.body
817M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/caches/gemini/bm25/_wv_Lucene912_0.pos
800M	./15.09/печать/7.прозрачка_1080х1390_1шт.tif
747M	./papercraft/picture for model/Free_Mockup_Topview.psd
717M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12
717M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12
717M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12
717M	./.venv/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12
695M	./Camera/DCIM/Camera/VID_20150101_042408.mp4
675M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/pip/http-v2/2/1/9/5/e/2195e86dadf689b32b54e3aa26801d1bef1cac5a6f829d72dbae30e8.body
666M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/index/trigram.index/Trigram.Index_inputs.values
567M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/pip/http-v2/6/2/d/1/e/62d1e95eb11943c4752bea63594748c62e32adb6c222bba3e62aaed2.body
561M	./15.09/тимур (1)/1.оракал_860х1220мм_1шт.tif
556M	./x0tta6bl4_paradox_zone/secrets_scan_20251017_191537.txt
552M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/index/idindex/IdIndex.storage.values
537M	./Camera/DCIM/Camera/VID_20141130_090744.mp4
534M	./15.09/тимур (1)/2.оракал_1490х670мм_1шт.tif
523M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/nvidia/cudnn/lib/libcudnn_engines_precompiled.so.9
523M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/nvidia/cudnn/lib/libcudnn_engines_precompiled.so.9
523M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/nvidia/cudnn/lib/libcudnn_engines_precompiled.so.9
523M	./.venv/lib/python3.12/site-packages/nvidia/cudnn/lib/libcudnn_engines_precompiled.so.9
515M	./15.09/тимур (1)/5.оракал_560х1720мм_1шт.tif
509M	./x0tta6bl4_paradox_zone/x0tta6bl4/Загрузки/Telegram Desktop/ChatExport_2025-09-14/video_files/СИФИЛИС_L.mp4
503M	./x0tta6bl4_paradox_zone/x0tta6bl4/.cache/Google/AndroidStudio2025.1.2/index/trigram.index/Trigram.Index.storage.values
486M	./15.09/тимур (1)/4.оракал_1010х900мм_1шт.tif
454M	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/lfs/objects/64/8f/648fef14b71845d14e6ee7d1ddc5bc2b427d4d0433e8ed7615b45b81cd3067ed
441M	./x0tta6bl4_paradox_zone/x0tta6bl4/.config/Code/User/globalStorage/kilocode.kilo-code/puppeteer/.chromium-browser-snapshots/chromium/linux-1521986/chrome-linux/chrome
433M	./15.09/печать/5.оракал_645х1260_1шт.tif
432M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0
432M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0
432M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0
432M	./x0tta6bl4_paradox_zone/quantum_mirage_engine/.venv/lib/python3.12/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0
432M	./.venv/lib/python3.12/site-packages/nvidia/cusparselt/lib/libcusparseLt.so.0
431M	./Zona Downloads/The.Vampire.Diaries (S07) LostFilm/The.Vampire.Diaries.S07E09.rus.LostFilm.TV.avi
422M	./15.09/печать/4.оракал_1100х720_1шт.tif
419M	./x0tta6bl4_paradox_zone/x0tta6bl4/Загрузки/Telegram Desktop/water_1280_efir.mp4
417M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so
417M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so
417M	./.venv/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so
411M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so
411M	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/lfs/objects/75/54/75540e9ff02ef34b961f6c1c9434a953b3c945f23992b939c263ee8091a8eb33
410M	./x0tta6bl4_paradox_zone/x0tta6bl4/.local/lib/python3.12/site-packages/nvidia/nccl/lib/libnccl.so.2
410M	./x0tta6bl4_paradox_zone/.venv/lib/python3.12/site-packages/nvidia/nccl/lib/libnccl.so.2
410M	./x0tta6bl4_paradox_zone/test_venv/lib/python3.12/site-packages/nvidia/nccl/lib/libnccl.so.2
410M	./.venv/lib/python3.12/site-packages/nvidia/nccl/lib/libnccl.so.2
408M	./x0tta6bl4_paradox_zone/x0tta6bl4/.git/lfs/objects/62/9d/629d28a5fb24e2c33df077e2d98d5da0c73d0b53e628bb826fd4ba36616b482b
